날짜,KOSPI,현대건설,GS건설,대우건설,한전KPS,DL이앤씨,삼성바이오로직스,셀트리온,SK바이오사이언스,유한양행,한미약품,POSCO홀딩스,고려아연,현대제철,영풍,동국제강,미래에셋증권,NH투자증권,삼성증권,메리츠증권,키움증권,KB금융,신한지주,SK,삼성생명,LG,두산에너빌리티,한온시스템,두산밥캣,씨에스윈드,LIG넥스원,LG화학,SK이노베이션,S-Oil,한화솔루션,LG생활건강,NAVER,카카오,삼성에스디에스,크래프톤,엔씨소프트,삼성전자,LG에너지솔루션,SK하이닉스,삼성SDI,삼성전자우,현대차,기아,현대모비스,현대중공업,한국조선해양,삼성물산,BGF리테일,호텔신라,포스코인터내셔널,GS리테일,CJ제일제당,오리온,하이트진로,농심,오뚜기
20221024,223616,34950.0,22450.0,4165.0,32150.0,36450.0,873000.0,178000.0,75200.0,57200.0,246500.0,248000.0,602000.0,30600.0,610000.0,11550.0,6200.0,8930.0,31150.0,3520.0,74200.0,45150.0,35700.0,202000.0,66200.0,78900.0,13600.0,7450.0,30800.0,63500.0,90900.0,575000.0,155000.0,83600.0,47600.0,553000.0,164000.0,48450.0,120000.0,178500.0,370500.0,57500.0,509000.0,91800.0,650000.0,52500.0,161500.0,65300.0,198000.0,106000.0,71600.0,111000.0,184000.0,72000.0,21050.0,23950.0,398000.0,99400.0,24600.0,296000.0,439500.0
20221021,221312,34150.0,21700.0,3975.0,31700.0,34550.0,847000.0,174000.0,71800.0,55500.0,243000.0,249000.0,587000.0,29850.0,607000.0,11350.0,6100.0,8820.0,30300.0,3490.0,70000.0,46000.0,36350.0,202000.0,66200.0,77800.0,13300.0,7590.0,30250.0,63200.0,87500.0,568000.0,156000.0,85700.0,49450.0,574000.0,166000.0,48850.0,120000.0,179000.0,360000.0,55900.0,499000.0,90500.0,627000.0,52000.0,167000.0,67900.0,204000.0,106000.0,71500.0,109500.0,183000.0,72500.0,20950.0,23650.0,398500.0,99600.0,24450.0,294500.0,435000.0
20221020,221809,36450.0,22950.0,4230.0,32900.0,36100.0,835000.0,171500.0,72700.0,56400.0,240000.0,252000.0,613000.0,31100.0,619000.0,11750.0,6230.0,8870.0,30600.0,3520.0,72200.0,46500.0,36550.0,207500.0,66200.0,78800.0,14050.0,7640.0,30900.0,63600.0,87800.0,569000.0,155000.0,87000.0,49600.0,564000.0,168500.0,47750.0,120500.0,176000.0,358000.0,55500.0,495000.0,90200.0,589000.0,52000.0,168500.0,68400.0,206000.0,108500.0,72900.0,110500.0,176000.0,73500.0,21250.0,24050.0,403500.0,99800.0,24950.0,289000.0,439500.0
20221019,223744,35700.0,23100.0,4215.0,31300.0,36000.0,847000.0,171500.0,74900.0,55500.0,240500.0,255000.0,618000.0,30750.0,629000.0,11650.0,6330.0,9080.0,31900.0,3650.0,78700.0,47900.0,37050.0,204500.0,65800.0,79800.0,13350.0,7640.0,30600.0,63700.0,88300.0,593000.0,163500.0,84900.0,52000.0,578000.0,168500.0,49800.0,118500.0,183000.0,362500.0,55800.0,497500.0,92900.0,606000.0,51700.0,168000.0,69000.0,207500.0,111500.0,73000.0,108500.0,175000.0,73500.0,21400.0,24250.0,403000.0,98900.0,25050.0,292000.0,443500.0
20221018,224995,37300.0,23800.0,4290.0,31550.0,37650.0,845000.0,176500.0,77800.0,54600.0,243000.0,250000.0,605000.0,31200.0,634000.0,11750.0,6320.0,9130.0,31950.0,3705.0,80800.0,47350.0,36750.0,205000.0,66300.0,78800.0,13500.0,7700.0,29950.0,64400.0,85900.0,611000.0,156500.0,82500.0,51900.0,578000.0,172500.0,49400.0,118000.0,189000.0,355500.0,56500.0,489000.0,95800.0,605000.0,51900.0,168000.0,69100.0,204000.0,114500.0,74100.0,111000.0,176000.0,74500.0,21700.0,24550.0,402000.0,100500.0,25200.0,295000.0,446500.0
20221017,221971,35150.0,22650.0,4050.0,30600.0,35600.0,830000.0,169500.0,73900.0,53500.0,239500.0,247500.0,616000.0,30550.0,630000.0,11550.0,6190.0,8950.0,31400.0,3660.0,77400.0,45900.0,36200.0,198500.0,66100.0,78900.0,13250.0,7470.0,29800.0,62900.0,83900.0,575000.0,156500.0,82800.0,48600.0,575000.0,167000.0,48350.0,117000.0,179500.0,328000.0,56600.0,491500.0,95200.0,605000.0,51700.0,167000.0,68700.0,195000.0,117000.0,74800.0,111000.0,173000.0,73500.0,21250.0,24400.0,401000.0,100000.0,24600.0,295000.0,441500.0
20221014,221255,37850.0,23000.0,4155.0,30750.0,36100.0,806000.0,174000.0,71300.0,55000.0,237000.0,246000.0,613000.0,30500.0,635000.0,11350.0,6190.0,8970.0,31700.0,3615.0,76800.0,46750.0,35700.0,206000.0,65600.0,76900.0,13100.0,7370.0,29800.0,63100.0,89700.0,573000.0,157000.0,85300.0,46950.0,575000.0,165500.0,51400.0,115500.0,182000.0,335500.0,56300.0,483000.0,95500.0,603000.0,51400.0,167000.0,69000.0,195000.0,117000.0,75400.0,110500.0,173500.0,74300.0,21600.0,24000.0,404500.0,98100.0,24650.0,294000.0,445500.0
20221013,216287,35800.0,21650.0,4000.0,30050.0,34050.0,807000.0,165000.0,72200.0,55300.0,227500.0,237500.0,604000.0,29950.0,635000.0,11050.0,6130.0,8850.0,31000.0,3425.0,73400.0,44700.0,34900.0,199500.0,65400.0,76600.0,12600.0,7210.0,28950.0,61700.0,84400.0,575000.0,151500.0,82000.0,45400.0,563000.0,158500.0,47300.0,113000.0,176000.0,322500.0,55200.0,477000.0,94900.0,596000.0,50400.0,164500.0,68300.0,195500.0,115500.0,74000.0,107000.0,167000.0,73500.0,21250.0,23800.0,388500.0,97400.0,24000.0,284000.0,439500.0
20221012,220247,37350.0,22950.0,4175.0,31450.0,35450.0,820000.0,164500.0,72900.0,54900.0,229000.0,236500.0,608000.0,30450.0,652000.0,11300.0,6230.0,8920.0,31300.0,3450.0,75000.0,44550.0,34950.0,202000.0,65100.0,78500.0,13600.0,7370.0,29350.0,62100.0,94300.0,591000.0,157500.0,84900.0,48100.0,581000.0,162000.0,49850.0,117500.0,180500.0,337000.0,55800.0,483000.0,94000.0,610000.0,50500.0,168000.0,68200.0,195500.0,121500.0,77300.0,108000.0,171500.0,74100.0,22150.0,24600.0,398000.0,96700.0,25150.0,287000.0,441000.0
20221011,219207,36750.0,21550.0,4080.0,31150.0,34700.0,802000.0,165000.0,68800.0,54900.0,228500.0,230000.0,609000.0,30100.0,659000.0,11550.0,6100.0,8870.0,31050.0,3455.0,73200.0,44650.0,34650.0,199500.0,65100.0,75700.0,13500.0,7460.0,29450.0,62000.0,90000.0,597000.0,156000.0,84500.0,46200.0,613000.0,158500.0,50100.0,114500.0,178000.0,336000.0,55400.0,497500.0,90200.0,600000.0,50200.0,168000.0,67400.0,201500.0,116500.0,76600.0,109500.0,172000.0,73000.0,21900.0,24400.0,400000.0,98200.0,24850.0,294000.0,444500.0
20221007,223284,39200.0,22650.0,4235.0,33150.0,36000.0,811000.0,166000.0,72500.0,54600.0,232500.0,226500.0,610000.0,30200.0,651000.0,11550.0,6200.0,9100.0,31750.0,3620.0,76100.0,45900.0,35450.0,206000.0,65800.0,76800.0,14550.0,7970.0,29500.0,65700.0,90100.0,589000.0,158500.0,84200.0,47350.0,650000.0,160000.0,50900.0,117000.0,191500.0,349000.0,56200.0,482500.0,91200.0,591000.0,51100.0,175500.0,71000.0,202000.0,122000.0,80100.0,110500.0,168000.0,75800.0,22450.0,24550.0,402000.0,101000.0,25900.0,296000.0,457000.0
20221006,223786,38650.0,22600.0,4235.0,34450.0,35800.0,812000.0,170000.0,78400.0,53700.0,231000.0,224000.0,621000.0,30300.0,679000.0,11650.0,6130.0,9050.0,31550.0,3620.0,75200.0,45800.0,34700.0,202500.0,62900.0,75700.0,14800.0,7950.0,29300.0,67100.0,93600.0,583000.0,153000.0,84900.0,50000.0,650000.0,167000.0,54800.0,116000.0,201000.0,350500.0,56300.0,478000.0,89900.0,585000.0,50600.0,178000.0,71500.0,201000.0,124500.0,79600.0,109000.0,165000.0,74800.0,22900.0,24900.0,402000.0,100500.0,25900.0,295500.0,461000.0
20221005,221522,38950.0,23000.0,4275.0,34000.0,35600.0,807000.0,171500.0,79000.0,54000.0,228500.0,223000.0,621000.0,29300.0,690000.0,11150.0,6110.0,9030.0,31250.0,3590.0,76300.0,46500.0,34900.0,200000.0,62500.0,75100.0,14250.0,7990.0,29200.0,64300.0,91400.0,560000.0,156500.0,85600.0,51200.0,637000.0,164000.0,54500.0,116500.0,202000.0,346500.0,56000.0,469000.0,89800.0,569000.0,51000.0,177000.0,71100.0,202500.0,119500.0,74900.0,106500.0,166000.0,73900.0,22150.0,25050.0,402000.0,101500.0,25800.0,298000.0,461000.0
20221004,220938,38700.0,23600.0,4255.0,35500.0,35800.0,811000.0,173000.0,85500.0,54200.0,232000.0,222500.0,597000.0,29600.0,665000.0,11450.0,6030.0,9050.0,30950.0,3675.0,77400.0,44700.0,34500.0,201500.0,61200.0,76300.0,14950.0,8320.0,29600.0,62900.0,95000.0,555000.0,154000.0,83600.0,49450.0,632000.0,176500.0,55900.0,116500.0,214000.0,356000.0,55200.0,444500.0,86200.0,556000.0,49300.0,179500.0,72800.0,198000.0,119500.0,76200.0,107000.0,164000.0,74500.0,22600.0,25400.0,404000.0,100500.0,26850.0,297500.0,461000.0
20220930,215549,37500.0,22550.0,4120.0,34700.0,34300.0,807000.0,175500.0,80300.0,54300.0,229000.0,211000.0,595000.0,28100.0,638000.0,10800.0,5980.0,8990.0,30750.0,3675.0,75700.0,43700.0,33500.0,192000.0,62400.0,74000.0,14250.0,8320.0,28500.0,60700.0,90300.0,536000.0,143500.0,81000.0,47200.0,633000.0,193500.0,57100.0,115000.0,210000.0,346000.0,53100.0,426500.0,83100.0,546000.0,46900.0,176500.0,71900.0,191000.0,115000.0,72900.0,103500.0,165500.0,71900.0,20900.0,25600.0,411000.0,103000.0,26500.0,298000.0,461000.0
20220929,217093,37850.0,23200.0,4125.0,35150.0,34800.0,813000.0,171000.0,84500.0,55000.0,230000.0,219500.0,581000.0,28950.0,642000.0,11000.0,6090.0,9020.0,31150.0,3735.0,75300.0,44250.0,34300.0,195500.0,62700.0,74500.0,14300.0,9080.0,28750.0,61200.0,91100.0,547000.0,146000.0,80700.0,46350.0,651000.0,196500.0,55900.0,117000.0,205500.0,334500.0,52600.0,440000.0,80800.0,566000.0,47400.0,181500.0,74500.0,197500.0,116500.0,74300.0,105500.0,164000.0,72500.0,21100.0,26350.0,407500.0,105000.0,27100.0,307500.0,478000.0
20220928,216929,38150.0,24000.0,4130.0,34950.0,35100.0,767000.0,166500.0,86800.0,53500.0,229500.0,228000.0,569000.0,29300.0,652000.0,11200.0,6030.0,9060.0,31300.0,3820.0,75800.0,44350.0,34250.0,194000.0,61200.0,73800.0,14700.0,9490.0,28200.0,61200.0,90300.0,546000.0,148500.0,77900.0,46950.0,653000.0,200500.0,56900.0,116000.0,205000.0,323500.0,52900.0,433500.0,81200.0,564000.0,47300.0,179500.0,73900.0,194500.0,114500.0,76000.0,104000.0,161000.0,73100.0,21100.0,26150.0,406500.0,106500.0,27200.0,307000.0,480000.0
20220927,222386,39600.0,24950.0,4290.0,35450.0,36950.0,754000.0,165500.0,85200.0,53800.0,232000.0,229000.0,591000.0,30000.0,702000.0,12100.0,6080.0,9150.0,31600.0,4000.0,78300.0,44500.0,34500.0,201000.0,63000.0,76400.0,15600.0,9580.0,29450.0,62300.0,90100.0,569000.0,151000.0,81500.0,47850.0,673000.0,204500.0,59300.0,117000.0,213000.0,329000.0,54200.0,444000.0,82000.0,587000.0,48500.0,186000.0,76500.0,199500.0,120000.0,78800.0,107000.0,163500.0,73400.0,22100.0,26350.0,420000.0,109000.0,27500.0,308500.0,481500.0
20220926,222094,39050.0,24550.0,4270.0,34650.0,36450.0,758000.0,164500.0,84600.0,53300.0,226000.0,224500.0,591000.0,29750.0,719000.0,12150.0,6090.0,9220.0,31350.0,4085.0,79000.0,46450.0,35350.0,204000.0,64200.0,76200.0,15500.0,9770.0,29000.0,63200.0,89900.0,571000.0,158500.0,81500.0,46350.0,643000.0,204500.0,59700.0,114500.0,209000.0,327000.0,53900.0,446500.0,82500.0,597000.0,48500.0,182500.0,74800.0,200000.0,117000.0,79800.0,105500.0,160000.0,72300.0,22300.0,25650.0,405500.0,102500.0,26600.0,304000.0,473500.0
20220923,229000,41750.0,25950.0,4545.0,36250.0,38250.0,770000.0,167500.0,86200.0,54800.0,237000.0,236000.0,614000.0,31700.0,748000.0,12950.0,6310.0,9400.0,32850.0,4235.0,81300.0,49400.0,36950.0,214500.0,64700.0,77600.0,16900.0,9880.0,30700.0,64900.0,94300.0,604000.0,164500.0,86900.0,49700.0,663000.0,210500.0,61000.0,117500.0,205500.0,330000.0,54500.0,460500.0,83500.0,610000.0,49700.0,190500.0,77600.0,206500.0,124000.0,84100.0,108500.0,162000.0,75000.0,23600.0,26600.0,413000.0,103000.0,27550.0,303500.0,476500.0
20220922,233231,42850.0,26550.0,4585.0,37300.0,39450.0,785000.0,169000.0,89600.0,55800.0,239500.0,235500.0,604000.0,32600.0,713000.0,13200.0,6450.0,9500.0,33250.0,4305.0,82400.0,49050.0,36050.0,222000.0,63400.0,79700.0,17300.0,10100.0,31850.0,67900.0,97400.0,626000.0,175500.0,90000.0,51000.0,692000.0,206500.0,61300.0,120000.0,216500.0,347000.0,54400.0,488500.0,86000.0,629000.0,49850.0,193500.0,79200.0,209500.0,125500.0,85300.0,111500.0,164000.0,76500.0,24300.0,26900.0,417500.0,105000.0,28600.0,304000.0,479500.0
20220921,234721,43650.0,27250.0,4760.0,37150.0,40450.0,786000.0,169000.0,91100.0,55800.0,236500.0,238000.0,600000.0,33600.0,667000.0,13800.0,6620.0,9650.0,33700.0,4570.0,83800.0,48800.0,36150.0,223500.0,64100.0,79800.0,17250.0,10250.0,32000.0,62800.0,95200.0,625000.0,178500.0,88900.0,49350.0,698000.0,213000.0,64000.0,121000.0,222000.0,356500.0,55300.0,479500.0,88000.0,619000.0,50300.0,197000.0,79700.0,212000.0,121000.0,84600.0,112500.0,163500.0,76500.0,23900.0,27000.0,408500.0,104500.0,28650.0,299500.0,466000.0
20220920,236785,44350.0,28000.0,4785.0,37450.0,41100.0,800000.0,175500.0,93200.0,56100.0,280000.0,239500.0,601000.0,34000.0,670000.0,13700.0,6660.0,9750.0,34050.0,4720.0,84100.0,49950.0,36550.0,225500.0,64900.0,80100.0,17350.0,10350.0,32300.0,62200.0,93600.0,630000.0,179000.0,88900.0,50600.0,679000.0,218000.0,65300.0,121500.0,225500.0,357000.0,55800.0,483500.0,88000.0,634000.0,51000.0,198500.0,80400.0,215500.0,121000.0,83700.0,113500.0,164000.0,76800.0,24250.0,27250.0,404500.0,103000.0,28500.0,304500.0,471000.0
20220919,235566,43300.0,27300.0,4760.0,36050.0,39850.0,809000.0,172500.0,97700.0,55700.0,282000.0,231000.0,588000.0,33450.0,654000.0,13750.0,6620.0,9670.0,33650.0,4550.0,81900.0,49600.0,36100.0,221500.0,62300.0,79800.0,16800.0,10250.0,31250.0,59900.0,91400.0,635000.0,176500.0,89200.0,50500.0,679000.0,218000.0,65400.0,121500.0,226000.0,353000.0,56400.0,477500.0,90000.0,608000.0,51600.0,201500.0,80800.0,209000.0,116000.0,82100.0,112000.0,164500.0,73600.0,24000.0,26950.0,393000.0,97900.0,28400.0,292500.0,468000.0
20220916,238278,44100.0,27800.0,4840.0,37300.0,41500.0,802000.0,174000.0,101500.0,55900.0,284000.0,230500.0,618000.0,34600.0,669000.0,15150.0,6600.0,9700.0,33400.0,4530.0,82900.0,50100.0,35900.0,224500.0,63600.0,80800.0,17600.0,10350.0,32400.0,61900.0,93500.0,635000.0,177500.0,88700.0,51200.0,689000.0,220000.0,66900.0,123000.0,239000.0,368000.0,56200.0,506000.0,91200.0,602000.0,51500.0,201000.0,81100.0,210000.0,120000.0,84200.0,113000.0,162500.0,73800.0,24350.0,27350.0,385500.0,101500.0,28250.0,295500.0,463000.0
20220915,240183,44550.0,28100.0,4930.0,37300.0,41500.0,807000.0,179000.0,104500.0,55400.0,284000.0,235000.0,634000.0,34750.0,682000.0,15000.0,6530.0,9700.0,33250.0,4560.0,84300.0,49600.0,35800.0,228000.0,63600.0,80700.0,17750.0,10550.0,32750.0,61900.0,95300.0,658000.0,185000.0,94200.0,54600.0,680000.0,225500.0,67400.0,122000.0,239000.0,368500.0,56000.0,511000.0,92000.0,615000.0,51800.0,198000.0,80000.0,209000.0,125000.0,86400.0,114500.0,159500.0,72800.0,25050.0,27450.0,389500.0,98400.0,28450.0,289000.0,457500.0
20220914,241142,43050.0,27650.0,4900.0,37050.0,41100.0,828000.0,180000.0,107000.0,55600.0,291500.0,239500.0,624000.0,35150.0,682000.0,14500.0,6590.0,9840.0,33450.0,4595.0,84600.0,49800.0,35400.0,224500.0,64900.0,80700.0,17500.0,10900.0,32350.0,61800.0,96600.0,663000.0,189000.0,95000.0,52800.0,672000.0,230000.0,68100.0,123500.0,238500.0,372500.0,56800.0,498500.0,93000.0,614000.0,52400.0,198500.0,80300.0,214000.0,125000.0,86400.0,115000.0,159000.0,71600.0,25000.0,27500.0,389500.0,98400.0,28550.0,287500.0,465500.0
20220913,244954,44400.0,29100.0,5010.0,38100.0,42950.0,841000.0,186500.0,111000.0,56100.0,305000.0,248000.0,620000.0,36600.0,675000.0,14750.0,6710.0,9840.0,34050.0,4715.0,85900.0,49950.0,36000.0,230000.0,65900.0,81600.0,17900.0,10950.0,33800.0,62700.0,95800.0,665000.0,192500.0,96300.0,52400.0,690000.0,238500.0,70000.0,126500.0,246500.0,382500.0,58100.0,497000.0,94800.0,602000.0,53700.0,200500.0,81300.0,217000.0,127500.0,88300.0,117500.0,155500.0,73000.0,25550.0,26350.0,395500.0,98800.0,29300.0,291000.0,468000.0
20220908,238428,43500.0,28200.0,4810.0,38150.0,42150.0,810000.0,184000.0,107500.0,55600.0,302000.0,241500.0,615000.0,32900.0,674000.0,12850.0,6860.0,9610.0,32750.0,4530.0,80900.0,48200.0,35050.0,219500.0,64500.0,78000.0,17800.0,11050.0,32700.0,64800.0,103500.0,644000.0,189500.0,97100.0,53900.0,655000.0,231500.0,68000.0,122500.0,237000.0,371500.0,55600.0,486500.0,90400.0,571000.0,52000.0,200000.0,80900.0,219500.0,127000.0,88100.0,116000.0,158500.0,71000.0,25600.0,26250.0,390000.0,96800.0,28350.0,289000.0,460000.0
20220907,237646,44000.0,28350.0,4635.0,38200.0,43150.0,811000.0,179000.0,103000.0,55500.0,291000.0,246000.0,627000.0,32150.0,681000.0,12700.0,6390.0,9600.0,32900.0,4520.0,79800.0,46850.0,34250.0,219000.0,64000.0,77600.0,18100.0,10750.0,32650.0,65000.0,104000.0,623000.0,184500.0,97300.0,53000.0,654000.0,231500.0,67500.0,122500.0,233500.0,368500.0,56000.0,488000.0,90400.0,554000.0,52000.0,202000.0,82300.0,217000.0,128500.0,88300.0,114000.0,157500.0,70000.0,26200.0,26200.0,390000.0,94100.0,28400.0,289500.0,465000.0
20220906,241002,44650.0,29000.0,4835.0,39300.0,42350.0,816000.0,181000.0,105500.0,55800.0,295500.0,252500.0,627000.0,32200.0,685000.0,13200.0,6510.0,9840.0,33800.0,4580.0,81900.0,48150.0,34650.0,221000.0,64200.0,78600.0,19100.0,10350.0,33450.0,66300.0,109000.0,619000.0,187500.0,101500.0,54300.0,676000.0,235000.0,69700.0,125000.0,235500.0,374500.0,57100.0,483500.0,91800.0,560000.0,52200.0,201000.0,81400.0,217000.0,135000.0,92100.0,115500.0,155500.0,72200.0,26800.0,26850.0,398000.0,96000.0,29300.0,294500.0,472500.0
20220905,240368,44950.0,29500.0,4970.0,38750.0,41900.0,815000.0,180500.0,106000.0,56200.0,297500.0,252500.0,612000.0,32400.0,668000.0,12850.0,6540.0,9830.0,33650.0,4640.0,82400.0,48100.0,34750.0,225000.0,63900.0,79300.0,18900.0,10350.0,33500.0,64200.0,107500.0,616000.0,186000.0,101500.0,50900.0,672000.0,236000.0,70000.0,124000.0,236000.0,377500.0,57100.0,483000.0,91100.0,566000.0,52300.0,200000.0,81000.0,214500.0,137000.0,91700.0,115000.0,154500.0,71700.0,27100.0,26550.0,397500.0,95600.0,29300.0,294000.0,476500.0
20220902,240941,45050.0,29200.0,4970.0,39100.0,42450.0,838000.0,184500.0,111000.0,56000.0,299000.0,246000.0,618000.0,31500.0,662000.0,12700.0,6470.0,9740.0,33300.0,4590.0,81600.0,47150.0,34600.0,224500.0,64100.0,78800.0,19100.0,10150.0,33600.0,64100.0,105500.0,610000.0,181500.0,98400.0,51100.0,691000.0,234000.0,70200.0,125500.0,232000.0,368000.0,57500.0,482000.0,91700.0,576000.0,53100.0,196500.0,80800.0,214000.0,133500.0,91100.0,116000.0,156000.0,72400.0,25800.0,26950.0,400000.0,97000.0,29600.0,299000.0,475500.0
20220901,241561,45650.0,29000.0,5020.0,39400.0,40900.0,826000.0,186500.0,108000.0,56100.0,302000.0,253000.0,644000.0,32250.0,670000.0,12650.0,6480.0,9790.0,33300.0,4635.0,81900.0,47750.0,34900.0,223500.0,61600.0,79700.0,19200.0,10050.0,34000.0,67100.0,103000.0,623000.0,178500.0,99100.0,51800.0,687000.0,236000.0,71400.0,126000.0,236000.0,377000.0,58400.0,463000.0,92400.0,575000.0,53700.0,195500.0,80200.0,212000.0,134000.0,93000.0,117000.0,157500.0,72900.0,26050.0,25950.0,400500.0,97500.0,30150.0,298000.0,472500.0
20220831,247205,48200.0,30150.0,5200.0,41350.0,40950.0,835000.0,189500.0,113000.0,56800.0,308000.0,255000.0,672000.0,32900.0,697000.0,13250.0,6560.0,9950.0,33900.0,4840.0,85600.0,49450.0,36600.0,233000.0,62000.0,82000.0,20350.0,10300.0,34700.0,68700.0,106000.0,632000.0,190000.0,101500.0,52600.0,712000.0,240000.0,73400.0,128500.0,246500.0,378500.0,59700.0,462500.0,95200.0,598000.0,54500.0,196000.0,80800.0,215000.0,143500.0,97200.0,120500.0,160500.0,73800.0,26850.0,25400.0,407500.0,98400.0,30500.0,300000.0,479000.0
20220830,245093,47650.0,29900.0,5160.0,41200.0,41100.0,836000.0,188500.0,113500.0,56600.0,301500.0,254000.0,619000.0,32950.0,630000.0,13250.0,6600.0,9940.0,34000.0,4790.0,83800.0,49600.0,35850.0,227500.0,61400.0,81500.0,21700.0,10400.0,34950.0,68900.0,103500.0,611000.0,196500.0,105000.0,52200.0,710000.0,238000.0,73200.0,128500.0,239000.0,372000.0,58800.0,465500.0,93200.0,578000.0,54700.0,195500.0,80100.0,213500.0,141000.0,96900.0,119500.0,160000.0,74000.0,27150.0,24850.0,408000.0,99000.0,30500.0,302500.0,482500.0
