날짜,KOSPI,삼성바이오로직스,셀트리온,SK바이오사이언스,유한양행,한미약품,삼성전자,LG에너지솔루션,SK하이닉스,삼성SDI,삼성전자우,포스코케미칼,쌍용C&E,아이에스동서,한일시멘트,KCC글라스,SK텔레콤,KT,LG유플러스,현대퓨처넷,인스코비,CJ제일제당,오리온,농심,오뚜기,하이트진로,한솔제지,아세아제지,신대양제지,무림P&P,영풍제지,NAVER,카카오,삼성에스디에스,크래프톤,엔씨소프트,한국전력,한국가스공사,서울가스,삼천리,SGC에너지,현대차,기아,현대모비스,현대중공업,한국조선해양,삼성생명_x,삼성화재,DB손해보험,메리츠화재,현대해상,에스디바이오센서,덴티움,케이씨텍,케이씨,우진,F&F,한섬,한세실업,LF,방림,KB금융,신한지주,SK,삼성생명_y,LG,미래에셋증권,NH투자증권,삼성증권,메리츠증권,키움증권,HMM,대한항공,현대글로비스,한진칼,팬오션,삼성물산,BGF리테일,호텔신라,GS리테일,롯데쇼핑,POSCO홀딩스,고려아연,현대제철,영풍,동국제강,LG화학,SK이노베이션,S-Oil,한화솔루션,LG생활건강,현대건설,GS건설,대우건설,한전KPS,DL이앤씨,두산에너빌리티,한온시스템,두산밥캣,씨에스윈드,LIG넥스원
20221025,223876,892000,185500,77400,58400,247500,58200,524000,94100,659000,52800,198500,5670,30550,11500,38600,49650,36150,11200,2525,1550,398500,101000,297000,437000,24650,14350,37050,80400,4320,8220,166000,48900,121000,175500,374000,16600,33450,337000,278500,31400,161000,65900,197500,104000,70000,66500,194500,54900,29650,31900,28800,80300,15600,15600,8120,138000,25250,14550,14750,6790,45500,35950,205000,66500,76700,6140,8820,30600,3505,73300,18850,21700,162000,36900,4415,110500,179500,71400,23800,88400,238500,603000,29400,613000,11200,555000,154500,82500,46600,546000,34050,21850,3975,31600,36350,12800,7490,29650,57000,90200
20221024,223616,873000,178000,75200,57200,246500,57500,509000,91800,650000,52500,194500,5640,30600,11500,39550,49450,35850,11200,2525,1505,398000,99400,296000,439500,24600,14100,37050,81000,4265,7870,164000,48450,120000,178500,370500,16700,33550,328000,282500,29600,161500,65300,198000,106000,71600,66200,196000,54800,29350,32300,29100,81200,15150,15100,8740,137500,25600,14650,15150,6690,45150,35700,202000,66200,78900,6200,8930,31150,3520,74200,19150,22000,165000,36850,4560,111000,184000,72000,23950,89900,248000,602000,30600,610000,11550,575000,155000,83600,47600,553000,34950,22450,4165,32150,36450,13600,7450,30800,63500,90900
20221021,221312,847000,174000,71800,55500,243000,55900,499000,90500,627000,52000,187000,5620,30150,11100,40000,49600,35750,11250,2490,1485,398500,99600,294500,435000,24450,14050,36350,81500,4270,6530,166000,48850,120000,179000,360000,16750,33350,320500,281000,29800,167000,67900,204000,106000,71500,66200,196500,57800,30250,33150,27950,79700,15150,14800,8710,136000,25100,14700,15500,6690,46000,36350,202000,66200,77800,6100,8820,30300,3490,70000,19000,21700,170000,37000,4545,109500,183000,72500,23650,90400,249000,587000,29850,607000,11350,568000,156000,85700,49450,574000,34150,21700,3975,31700,34550,13300,7590,30250,63200,87500
20221020,221809,835000,171500,72700,56400,240000,55500,495000,90200,589000,52000,191000,5680,30000,11000,40100,49550,35350,11100,2525,1535,403500,99800,289000,439500,24950,14250,36450,81400,4265,6730,168500,47750,120500,176000,358000,16750,34450,321000,282000,30050,168500,68400,206000,108500,72900,66200,198000,58900,30750,33300,28850,84400,15550,15150,9200,140000,25300,14850,16000,6480,46500,36550,207500,66200,78800,6230,8870,30600,3520,72200,19100,22750,170000,36800,4690,110500,176000,73500,24050,91800,252000,613000,31100,619000,11750,569000,155000,87000,49600,564000,36450,22950,4230,32900,36100,14050,7640,30900,63600,87800
20221019,223744,847000,171500,74900,55500,240500,55800,497500,92900,606000,51700,189500,5690,29900,11100,40900,49100,35250,10900,2520,1540,403000,98900,292000,443500,25050,14800,35750,81400,4390,6750,168500,49800,118500,183000,362500,17050,34100,310500,285500,31300,168000,69000,207500,111500,73000,65800,196500,58900,31250,33100,28150,83900,15800,15200,8280,138000,25950,15200,15900,6420,47900,37050,204500,65800,79800,6330,9080,31900,3650,78700,19300,23200,170000,36700,4630,108500,175000,73500,24250,90000,255000,618000,30750,629000,11650,593000,163500,84900,52000,578000,35700,23100,4215,31300,36000,13350,7640,30600,63700,88300
20221018,224995,845000,176500,77800,54600,243000,56500,489000,95800,605000,51900,183000,5750,30650,11250,41700,50200,35500,10900,2510,1525,402000,100500,295000,446500,25200,15050,35900,81400,4270,6960,172500,49400,118000,189000,355500,17100,34850,305000,283000,31900,168000,69100,204000,114500,74100,66300,195500,58100,30750,32600,28650,86400,16050,15200,8430,139000,26400,15100,15500,6390,47350,36750,205000,66300,78800,6320,9130,31950,3705,80800,19250,22550,172000,37200,4675,111000,176000,74500,24550,90500,250000,605000,31200,634000,11750,611000,156500,82500,51900,578000,37300,23800,4290,31550,37650,13500,7700,29950,64400,85900
20221017,221971,830000,169500,73900,53500,239500,56600,491500,95200,605000,51700,171000,5680,28950,10950,40200,49000,35000,10550,2485,1495,401000,100000,295000,441500,24600,14850,35650,81400,4110,6970,167000,48350,117000,179500,328000,17100,33500,302500,272500,30600,167000,68700,195000,117000,74800,66100,194500,57200,29900,32200,27050,85500,16050,14950,8360,139000,25550,14550,15800,6470,45900,36200,198500,66100,78900,6190,8950,31400,3660,77400,19050,21350,169000,35350,4680,111000,173000,73500,24400,88700,247500,616000,30550,630000,11550,575000,156500,82800,48600,575000,35150,22650,4050,30600,35600,13250,7470,29800,62900,83900
20221014,221255,806000,174000,71300,55000,237000,56300,483000,95500,603000,51400,160000,5660,30100,10800,40200,49700,34800,10450,2490,1480,404500,98100,294000,445500,24650,14800,35400,81000,4035,7020,165500,51400,115500,182000,335500,17100,34200,299000,272500,30700,167000,69000,195000,117000,75400,65600,192500,56800,29600,31150,27500,83400,15300,14700,8280,139000,25700,14550,15450,5780,46750,35700,206000,65600,76900,6190,8970,31700,3615,76800,18650,21050,171000,35350,4585,110500,173500,74300,24000,88900,246000,613000,30500,635000,11350,573000,157000,85300,46950,575000,37850,23000,4155,30750,36100,13100,7370,29800,63100,89700
20221013,216287,807000,165000,72200,55300,227500,55200,477000,94900,596000,50400,158500,5590,29300,10250,39600,48550,33900,10250,2455,1405,388500,97400,284000,439500,24000,15350,34900,81500,3960,6760,158500,47300,113000,176000,322500,17250,32450,298000,269500,30200,164500,68300,195500,115500,74000,65400,188000,54600,27500,30300,25150,82200,14350,14200,7870,135000,24800,14150,15150,5430,44700,34900,199500,65400,76600,6130,8850,31000,3425,73400,18150,20700,162500,35200,4415,107000,167000,73500,23800,87400,237500,604000,29950,635000,11050,575000,151500,82000,45400,563000,35800,21650,4000,30050,34050,12600,7210,28950,61700,84400
20221012,220247,820000,164500,72900,54900,229000,55800,483000,94000,610000,50500,162000,5840,30350,10850,40400,48750,34350,10450,2490,1510,398000,96700,287000,441000,25150,15750,35850,82000,4125,7130,162000,49850,117500,180500,337000,18150,34550,301000,276000,31900,168000,68200,195500,121500,77300,65100,187500,54200,28350,29800,26450,81800,14600,14800,8410,139000,24450,14600,14800,5280,44550,34950,202000,65100,78500,6230,8920,31300,3450,75000,17800,22100,161000,35750,4475,108000,171500,74100,24600,89100,236500,608000,30450,652000,11300,591000,157500,84900,48100,581000,37350,22950,4175,31450,35450,13600,7370,29350,62100,94300
