사업자번호,address,industry,ind_rank,payroll,new_payroll,employee,employment,resignation,cmp_years
1018100340,서울 종로구 삼일대로 428,비주거용 건물 임대업,,,,,,,
1018100772,서울 종로구 청계천로 137,(I55101)호텔업,5,"~ 4,000만원 미만","~ 4,000만원 미만",-,0.00 % (0                                            명),0.00 % (0                                            명),53 년
1018101126,서울 종로구 율곡로 84,(L68112)비주거용 건물 임대업,6,"~ 4,000만원 미만","~ 4,000만원 미만",1명 이상 ~ 20명 미만,80.00 % (4                                            명),60.00 % (3                                            명),55 년
1018101242,서울 종로구 종로12길 15,(L68112)비주거용 건물 임대업,6,"~ 4,000만원 미만","~ 4,000만원 미만",1명 이상 ~ 20명 미만,12.50 % (1                                            명),25.00 % (2                                            명),- 년
1018103819,서울 종로구 종로 125,(L68112)비주거용 건물 임대업,6,"~ 4,000만원 미만","~ 4,000만원 미만",-,0.00 % (0                                            명),0.00 % (0                                            명),- 년
1018104477,서울 종로구 종로 65,(R91121)골프장 운영업,5,"4,000만원 이상 ~ 6,000만원 미만","~ 4,000만원 미만",100명 이상 ~ 200명 미만,18.56 % (18                                            명),28.87 % (28                                            명),66 년
1018104991,서울 중구 퇴계로36가길 104,(M72111)건축설계 및 관련 서비스업,7,"4,000만원 이상 ~ 6,000만원 미만","~ 4,000만원 미만",70명 이상 ~ 100명 미만,30.34 % (27                                            명),31.46 % (28                                            명),50 년
1018106586,서울 구로구 경인로53길 15,그 외 기타 기계 및 장비 도매업,,,,,,,
1018115921,경기 의왕시 오봉산단1로 64,(G46109)상품 종합 중개업,5,"~ 4,000만원 미만","~ 4,000만원 미만",20명 이상 ~ 40명 미만,19.23 % (5                                            명),23.08 % (6                                            명),- 년
1018116478,서울 종로구 청계천로 151-7,(G46595)전기용 기계ㆍ장비 및 관련 기자재 도매업,5,"4,000만원 이상 ~ 6,000만원 미만","~ 4,000만원 미만",40명 이상 ~ 70명 미만,9.30 % (4                                            명),4.65 % (2                                            명),39 년
1018117254,서울 강남구 봉은사로 509,(L68112)비주거용 건물 임대업,6,"~ 4,000만원 미만","~ 4,000만원 미만",1명 이상 ~ 20명 미만,20.00 % (1                                            명),40.00 % (2                                            명),40 년
1018118781,서울 중구 수표로 22-12,"(G46493)안경, 사진장비 및 광학용품 도매업",5,"~ 4,000만원 미만","~ 4,000만원 미만",70명 이상 ~ 100명 미만,31.58 % (24                                            명),23.68 % (18                                            명),35 년
1018119209,"서울 서대문구 서소문로 61-1, 303호",(I56123)서양식 음식점업,5,,,,,,
1018119252,경기 의정부시 산단로 82,(C26529)기타 음향기기 제조업,5,"~ 4,000만원 미만","~ 4,000만원 미만",40명 이상 ~ 70명 미만,16.36 % (9                                            명),27.27 % (15                                            명),35 년
1018119311,서울 종로구 삼청로 14,(G47841)예술품 및 골동품 소매업,6,"~ 4,000만원 미만","~ 4,000만원 미만",20명 이상 ~ 40명 미만,32.14 % (9                                            명),21.43 % (6                                            명),35 년
1018119742,서울 종로구 평창30길 28,(G47841)예술품 및 골동품 소매업,6,"~ 4,000만원 미만","~ 4,000만원 미만",1명 이상 ~ 20명 미만,61.54 % (8                                            명),30.77 % (4                                            명),34 년
1018121379,서울 종로구 청계천로 151-7,(G46595)전기용 기계ㆍ장비 및 관련 기자재 도매업,5,"4,000만원 이상 ~ 6,000만원 미만","~ 4,000만원 미만",40명 이상 ~ 70명 미만,50.00 % (20                                            명),42.50 % (17                                            명),33 년
1018121627,"서울 종로구 삼일대로 428, 3층 365호",(G46462)악기 도매업,6,"4,000만원 이상 ~ 6,000만원 미만","~ 4,000만원 미만",40명 이상 ~ 70명 미만,8.96 % (6                                            명),11.94 % (8                                            명),33 년
1018121646,서울 종로구 인사동5길 20,(L68112)비주거용 건물 임대업,6,"~ 4,000만원 미만","~ 4,000만원 미만",1명 이상 ~ 20명 미만,50.00 % (2                                            명),50.00 % (2                                            명),52 년
1018122626,충북 음성군 삼성면 범말길 49,(R91121)골프장 운영업,5,"~ 4,000만원 미만","~ 4,000만원 미만",20명 이상 ~ 40명 미만,33.33 % (9                                            명),33.33 % (9                                            명),36 년
1018122999,경기 성남시 중원구 둔촌대로 156-6,"(C14192)근무복, 작업복 및 유사의복 제조업",5,"~ 4,000만원 미만","~ 4,000만원 미만",20명 이상 ~ 40명 미만,63.16 % (12                                            명),47.37 % (9                                            명),31 년
